original_ingredient,new_ingredient
strawberry liqueur,liqueur - strawberry
strawberry schnapps,schnapps - strawberry
sugar,
sugar syrup,syrup - simple
surge,soda - surge
sweet and sour,sour mix
sweet vermouth,vermouth - sweet
tabasco sauce,hot sauce
tea,
tennessee whiskey,whiskey - tennessee
tequila,
tia maria,liqueur - coffee
tomato juice,juice - tomato
tonic water,water - tonic
triple sec,curacao
tropicana,juice - fruit
vanilla,
vanilla extract,extract - vanilla
vanilla ice-cream,ice cream - vanilla
vanilla vodka,vodka - vanilla
vermouth,
vodka,
water,
whipped cream,cream - whipped
whipping cream,cream - heavy
whiskey,
whisky,whiskey
white creme de menthe,creme de menthe - white
white rum,rum - light
wild turkey,whiskey - bourbon
wine,
worcestershire sauce,
wormwood,
yellow chartreuse,chartreuse - yellow
yoghurt,
yukon jack,whiskey - honey
zima,
